X,Y,PK_RANDOM_SAMPLE_LOCATION,REPORTING_UNIT,WATERBODY_TYPE,WATERBODY_NAME,CAN_BE_SAMPLED,LAT_DD,LAT_MM,LAT_SS,LONG_DD,LONG_MM,LONG_SS,PUBLIC_LAND_SURVEY_COORDINATES,COUNTY_NAME,QUARTER_QUAD_MAP_NUMBER,HYDROLOGIC_UNIT_NAME,COMMENTS,OBJECTID
-84.02080859,30.59609236,NW1-SS-2038,NWFWMD-1,STREAM,,No,30,35,45.9118,84,1,14.8967,T   2    N R   3 S 3,LEON,q5333ne,ST MARKS RIVER,,537
-84.88288969,30.37843687,NW1-SS-2039,NWFWMD-1,STREAM,,No,30,22,42.3523,84,52,58.3878,T   1    S R   7 S 24,LIBERTY,q5240se,OCHLOCKONEE RIVER,,538
-84.70496547,30.42468997,NW1-SS-2040,NWFWMD-1,STREAM,,Yes,30,25,28.8634,84,42,17.8608,T   1    S R   5 S 2,GADSDEN,q5238sw,OCHLOCKONEE RIVER,,539
-84.5094635,30.57186992,NW1-SS-2041,NWFWMD-1,STREAM,,Yes,30,34,18.7111,84,30,34.0539,T   2    N R   3 S 14,GADSDEN,q5337ne,OCHLOCKONEE RIVER,,540
-84.08868624,30.54562365,NW1-SS-2042,NWFWMD-1,STREAM,,No,30,32,44.2245,84,5,19.2562,T   2    N R   2 S 25,LEON,q5333sw,ST MARKS RIVER,,541
-84.81390689,30.41512705,NW1-SS-2043,NWFWMD-1,STREAM,,Yes,30,24,54.4369,84,48,50.0498,T   1    S R   6 S 11,LIBERTY,q5239sw,OCHLOCKONEE RIVER,,542
-84.66143978,30.23001481,NW1-SS-2044,NWFWMD-1,STREAM,,No,30,13,48.033,84,39,41.1684,T   3    S R   4 S 8,WAKULLA,q5038ne,OCHLOCKONEE RIVER,,543
-84.42667284,30.64693772,NW1-SS-2045,NWFWMD-1,STREAM,,No,30,38,48.9551,84,25,36.0076,T   3    N R   2 S 22,GADSDEN,q5436se,OCHLOCKONEE RIVER,,544
-84.5937689,30.06665094,NW1-SS-2046,NWFWMD-1,STREAM,,No,30,3,59.9232,84,35,37.5533,T   5    S R   4 S 12,WAKULLA,q4937nw,OCHLOCKONEE RIVER,,545
-84.49507588,30.26596447,NW1-SS-2047,NWFWMD-1,STREAM,,No,30,15,57.4517,84,29,42.2585,T   2    S R   3 S 36,WAKULLA,q5136sw,ST MARKS RIVER,,546
-84.71962056,30.4781779,NW1-SS-2048,NWFWMD-1,STREAM,,No,30,28,41.4199,84,43,10.6191,T   1    N R   5 S 15,GADSDEN,q5238nw,OCHLOCKONEE RIVER,,547
-83.95533048,30.49890748,NW1-SS-2049,NWFWMD-1,STREAM,,No,30,29,56.0463,83,57,19.1756,T   1    N R   4 S 8,JEFFERSON,q5232nw,ST MARKS RIVER,,548
-84.56975766,30.4846324,NW1-SS-2050,NWFWMD-1,STREAM,,Yes,30,29,4.6561,84,34,11.1128,,GADSDEN,q5237nw,OCHLOCKONEE RIVER,,549
-81.83421519,30.47278773,Z3-SS-12130,ZONE 3,STREAM,,N/A,30,28,22.01499939,81,50,3.162770033,,NASSAU,,NASSAU, ,550
-84.73806178,30.25753662,NW1-SS-2051,NWFWMD-1,STREAM,,Yes,30,15,27.1115,84,44,17.0075,T   2    S R   5 S 33,LIBERTY,q5138sw,OCHLOCKONEE RIVER,,551
-84.55624205,30.66818069,NW1-SS-2052,NWFWMD-1,STREAM,,Yes,30,40,5.4298,84,33,22.4566,T   3    N R   3 S 8,GADSDEN,q5437se,OCHLOCKONEE RIVER,,552
-84.10441358,30.43662266,NW1-SS-2053,NWFWMD-1,STREAM,,No,30,26,11.821,84,6,15.8746,T   1    N R   2 S 35,LEON,q5233sw,ST MARKS RIVER,,553
-84.19326603,30.59971936,NW1-SS-2054,NWFWMD-1,STREAM,,No,30,35,58.969,84,11,35.7433,T   2    N R   1 S 1,LEON,q5334nw,OCHLOCKONEE RIVER,,554
-84.87625361,30.51848509,NW1-SS-2055,NWFWMD-1,STREAM,,Yes,30,31,6.5258,84,52,34.4979,T   2    N R   6 S 31,LIBERTY,q5340se,OCHLOCKONEE RIVER,,555
-84.48985672,29.9680977,NW1-SS-2056,NWFWMD-1,STREAM,,No,29,58,5.1316,84,29,23.4696,T   6    S R   3 S 12,FRANKLIN,q4836nw,OCHLOCKONEE RIVER,,556
-84.68994022,30.54008805,NW1-SS-2057,NWFWMD-1,STREAM,,No,30,32,24.2964,84,41,23.7699,T   2    N R   5 S 25,GADSDEN,q5338sw,OCHLOCKONEE RIVER,,557
-84.0184092,30.57010513,NW1-SS-2058,NWFWMD-1,STREAM,,No,30,34,12.3578,84,1,6.2589,T   2    N R   3 S 15,LEON,q5333ne,ST MARKS RIVER,,558
-84.92352028,30.39541137,NW1-SS-2059,NWFWMD-1,STREAM,,Yes,30,23,43.4605,84,55,24.6579,T   1    S R   7 S 15,LIBERTY,q5240se,OCHLOCKONEE RIVER,,559
-84.71306003,30.34737323,NW1-SS-2060,NWFWMD-1,STREAM,,No,30,20,50.5232,84,42,47.0012,T   1    S R   5 S 35,LIBERTY,q5138nw,OCHLOCKONEE RIVER,,560
-84.41352703,30.55121164,NW1-SS-2061,NWFWMD-1,STREAM,,Yes,30,33,4.3413,84,24,48.6827,T   2    N R   2 S 22,GADSDEN,q5336se,OCHLOCKONEE RIVER,,561
-84.7386711,30.54452797,NW1-SS-2062,NWFWMD-1,STREAM,,Yes,30,32,40.2801,84,44,19.201,T   2    N R   5 S 28,GADSDEN,q5338sw,OCHLOCKONEE RIVER,,562
-84.13893824,30.14033567,NW1-SS-2063,NWFWMD-1,STREAM,,No,30,8,25.1881,84,8,20.1634,T   4    S R   2 S 16,WAKULLA,q5034se,ST MARKS RIVER,,563
-84.51157861,30.34763754,NW1-SS-2064,NWFWMD-1,STREAM,,No,30,20,51.4747,84,30,41.6683,T   1    S R   3 S 35,LEON,q5137ne,ST MARKS RIVER,,564
-84.59003983,30.48430496,NW1-SS-2065,NWFWMD-1,STREAM,,Yes,30,29,3.4773,84,35,24.1286,,GADSDEN,q5237nw,OCHLOCKONEE RIVER,,565
-83.84281584,30.61931215,NW1-SS-2066,NWFWMD-1,STREAM,,No,30,37,9.503,83,50,34.123,T   3    N R   5 S 32,JEFFERSON,q5331nw,ST MARKS RIVER,,566
-84.61618081,30.44839786,NW1-SS-2067,NWFWMD-1,STREAM,,No,30,26,54.2118,84,36,58.2361,T   1    N R   4 S 27,GADSDEN,q5237nw,OCHLOCKONEE RIVER,,567
-84.6555817,30.29346611,NW1-SS-2068,NWFWMD-1,STREAM,,No,30,17,36.4576,84,39,20.0793,T   2    S R   4 S 20,WAKULLA,q5138se,OCHLOCKONEE RIVER,,568
-84.50588709,30.64058469,NW1-SS-2069,NWFWMD-1,STREAM,,Yes,30,38,26.0842,84,30,21.1788,T   3    N R   3 S 23,GADSDEN,q5437se,OCHLOCKONEE RIVER,,569
-84.32696132,30.64870572,NW1-SS-2070,NWFWMD-1,STREAM,,No,30,38,55.3199,84,19,37.0462,T   3    N R   1 S 22,GADSDEN,q5435sw,OCHLOCKONEE RIVER,,570
-84.89309347,30.44433358,NW1-SS-2071,NWFWMD-1,STREAM,,Yes,30,26,39.5804,84,53,35.1214,T   1    N R   7 S 36,LIBERTY,q5240ne,OCHLOCKONEE RIVER,,571
-84.66517001,30.39409699,NW1-SS-2072,NWFWMD-1,STREAM,,No,30,23,38.7287,84,39,54.5972,T   1    S R   4 S 18,GADSDEN,q5238se,OCHLOCKONEE RIVER,,572
-84.60099729,30.01281024,NW1-SS-2073,NWFWMD-1,STREAM,,No,30,0,46.0967,84,36,3.5755,T   5    S R   4 S 25,LIBERTY,q4937sw,OCHLOCKONEE RIVER,,573
-84.50805745,30.555463,NW1-SS-2074,NWFWMD-1,STREAM,,Yes,30,33,19.6462,84,30,28.9921,T   2    N R   3 S 23,GADSDEN,q5337se,OCHLOCKONEE RIVER,,574
-84.07020938,30.51910887,NW1-SS-2075,NWFWMD-1,STREAM,,No,30,31,8.7713,84,4,12.7395,T   1    N R   3 S 6,LEON,q5333sw,ST MARKS RIVER,,575
-84.74324673,30.455236,NW1-SS-2076,NWFWMD-1,STREAM,,Yes,30,27,18.8291,84,44,35.6733,T   1    N R   5 S 28,LIBERTY,q5238nw,OCHLOCKONEE RIVER,,576
-84.7804671,30.35063489,NW1-SS-2077,NWFWMD-1,STREAM,,No,30,21,2.2652,84,46,49.6666,T   1    S R   5 S 31,LIBERTY,q5139ne,OCHLOCKONEE RIVER,,577
-84.2881103,30.50218022,NW1-SS-2078,NWFWMD-1,STREAM,,No,30,30,7.8282,84,17,17.1826,T   1    N R   1 S 12,LEON,q5335se,OCHLOCKONEE RIVER,,578
-84.82347373,30.52029532,NW1-SS-2079,NWFWMD-1,STREAM,,Yes,30,31,13.0426,84,49,24.4904,T   2    N R   6 S 34,LIBERTY,q5339sw,OCHLOCKONEE RIVER,,579
-84.19355712,30.18648546,NW1-SS-2080,NWFWMD-1,STREAM,,N/A,30,11,11.3273,84,11,36.7913,T   3    S R   1 S 25,WAKULLA,q5034sw,ST MARKS RIVER,,580
-84.6618368,30.05436291,NW1-SS-2081,NWFWMD-1,STREAM,,N/A,30,3,15.6863,84,39,42.5977,T   5    S R   4 S 8,LIBERTY,q4938se,OCHLOCKONEE RIVER,,581
-84.37901618,30.23757327,NW1-SS-2082,NWFWMD-1,STREAM,,N/A,30,14,15.2434,84,22,44.4437,T   3    S R   1 S 7,WAKULLA,q5036ne,ST MARKS RIVER,,582
-84.5894655,30.5124203,NW1-SS-2083,NWFWMD-1,STREAM,,N/A,30,30,44.6925,84,35,22.061,,GADSDEN,q5337sw,OCHLOCKONEE RIVER,,583
-84.13553718,30.67329399,NW1-SS-2084,NWFWMD-1,STREAM,,N/A,30,40,23.8376,84,8,7.9195,,LEON,q5434se,OCHLOCKONEE RIVER,,584
-84.52006775,30.51449235,NW1-SS-2085,NWFWMD-1,STREAM,,N/A,30,30,52.1519,84,31,12.2292,T   1    N R   3 S 3,GADSDEN,q5337se,OCHLOCKONEE RIVER,,585
-84.77600857,30.28219857,NW1-SS-2086,NWFWMD-1,STREAM,,N/A,30,16,55.8945,84,46,33.6159,T   2    S R   5 S 30,LIBERTY,q5139se,OCHLOCKONEE RIVER,,586
-84.43891946,30.68800534,NW1-SS-2087,NWFWMD-1,STREAM,,N/A,30,41,16.7985,84,26,20.0954,,GADSDEN,q5436nw,OCHLOCKONEE RIVER,,587
-84.23485378,30.43608229,NW1-SS-2088,NWFWMD-1,STREAM,,N/A,30,26,9.8757,84,14,5.4592,T   1    N R   1 S 33,LEON,q5234sw,ST MARKS RIVER,,588
-84.38615605,30.58404796,NW1-SS-2089,NWFWMD-1,STREAM,,N/A,30,35,2.552,84,23,10.1472,T   2    N R   2 S 12,GADSDEN,q5336ne,OCHLOCKONEE RIVER,,589
-84.8240962,30.49622945,NW1-SS-2090,NWFWMD-1,STREAM,,N/A,30,29,46.4055,84,49,26.7313,T   1    N R   6 S 10,LIBERTY,q5239nw,OCHLOCKONEE RIVER,,590
-84.57012867,30.02063249,NW1-SS-2091,NWFWMD-1,STREAM,,N/A,30,1,14.2568,84,34,12.4485,,WAKULLA,q4937sw,OCHLOCKONEE RIVER,,591
-84.68236172,30.49279584,NW1-SS-2092,NWFWMD-1,STREAM,,N/A,30,29,34.0445,84,40,56.4873,,GADSDEN,q5238ne,OCHLOCKONEE RIVER,,592
-83.94110601,30.52209168,NW1-SS-2093,NWFWMD-1,STREAM,,N/A,30,31,19.5094,83,56,27.9675,T   2    N R   4 S 32,JEFFERSON,q5332sw,ST MARKS RIVER,,593
-83.98597374,30.56372091,NW1-SS-2094,NWFWMD-1,STREAM,,N/A,30,33,49.3746,83,59,9.4913,,JEFFERSON,q5332nw,ST MARKS RIVER,,594
-84.94672193,30.45748472,NW1-SS-2095,NWFWMD-1,STREAM,,N/A,30,27,26.9245,84,56,48.1838,T   1    N R   7 S 28,LIBERTY,q5240nw,OCHLOCKONEE RIVER,,595
-84.81188483,30.32662905,NW1-SS-2096,NWFWMD-1,STREAM,,N/A,30,19,35.8442,84,48,42.7704,T   2    S R   6 S 11,LIBERTY,q5139ne,OCHLOCKONEE RIVER,,596
-84.48667358,30.54587256,NW1-SS-2097,NWFWMD-1,STREAM,,N/A,30,32,45.1206,84,29,12.0102,T   2    N R   3 S 25,GADSDEN,q5336sw,OCHLOCKONEE RIVER,,597
-84.36314013,30.53779989,NW1-SS-2098,NWFWMD-1,STREAM,,N/A,30,32,16.059,84,21,47.2899,T   2    N R   1 S 30,LEON,q5335sw,OCHLOCKONEE RIVER,,598
-84.75510029,30.50111073,NW1-SS-2099,NWFWMD-1,STREAM,,N/A,30,30,3.9781,84,45,18.3461,T   1    N R   5 S 8,GADSDEN,q5339se,OCHLOCKONEE RIVER,,599
-84.69158143,30.14283338,NW1-SS-2100,NWFWMD-1,STREAM,,N/A,30,8,34.1799,84,41,29.6783,T   4    S R   5 S 12,LIBERTY,q5038sw,OCHLOCKONEE RIVER,,600
-84.106036,30.45723666,NW1-SS-2101,NWFWMD-1,STREAM,,N/A,30,27,26.0314,84,6,21.7153,T   1    N R   2 S 26,LEON,q5233nw,ST MARKS RIVER,,601
-84.3951285,30.48142693,NW1-SS-2102,NWFWMD-1,STREAM,,N/A,30,28,53.1164,84,23,42.448,T   1    N R   2 S 13,LEON,q5236ne,OCHLOCKONEE RIVER,,602
-84.55601274,30.55184353,NW1-SS-2103,NWFWMD-1,STREAM,,N/A,30,33,6.6161,84,33,21.6311,T   2    N R   3 S 20,GADSDEN,q5337se,OCHLOCKONEE RIVER,,603
-84.55373749,30.62240213,NW1-SS-2104,NWFWMD-1,STREAM,,N/A,30,37,20.627,84,33,13.4402,T   3    N R   3 S 29,GADSDEN,q5337ne,OCHLOCKONEE RIVER,,604
-84.7261985,30.28269157,NW1-SS-2105,NWFWMD-1,STREAM,,N/A,30,16,57.6693,84,43,34.2997,T   2    S R   5 S 27,WAKULLA,q5138sw,OCHLOCKONEE RIVER,,605
-84.18980666,30.5246292,NW1-SS-2106,NWFWMD-1,STREAM,,N/A,30,31,28.6445,84,11,23.2896,T   2    N R   1 S 36,LEON,q5334sw,ST MARKS RIVER,,606
-83.97537635,30.44301758,NW1-SS-2107,NWFWMD-1,STREAM,,N/A,30,26,34.8427,83,58,31.3407,T   1    N R   3 S 36,JEFFERSON,q5232nw,ST MARKS RIVER,,607
-84.29820695,30.66911604,NW1-SS-2108,NWFWMD-1,STREAM,,N/A,30,40,8.797,84,17,53.5305,T   3    N R   1 S 11,LEON,q5435se,OCHLOCKONEE RIVER,,608
-84.87487796,30.35338103,NW1-SS-2109,NWFWMD-1,STREAM,,N/A,30,21,12.1513,84,52,29.5456,T   1    S R   6 S 31,LIBERTY,q5139nw,OCHLOCKONEE RIVER,,609
-84.67325238,30.36737637,NW1-SS-2110,NWFWMD-1,STREAM,,N/A,30,22,2.5345,84,40,23.6937,T   1    S R   4 S 30,LIBERTY,q5138ne,OCHLOCKONEE RIVER,,610
-84.56634197,29.97276173,NW1-SS-2111,NWFWMD-1,STREAM,,N/A,29,58,21.9221,84,33,58.8164,,FRANKLIN,q4837nw,OCHLOCKONEE RIVER,,611
-84.54964665,30.56416964,NW1-SS-2112,NWFWMD-1,STREAM,,N/A,30,33,50.9901,84,32,58.7132,T   2    N R   3 S 17,GADSDEN,q5337ne,OCHLOCKONEE RIVER,,612
-83.9644704,30.43002846,NW1-SS-2113,NWFWMD-1,STREAM,,N/A,30,25,48.0819,83,57,52.0793,T   1    S R   4 S 6,JEFFERSON,q5232sw,ST MARKS RIVER,,613
-84.03146501,30.54923432,NW1-SS-2114,NWFWMD-1,STREAM,,N/A,30,32,57.2229,84,1,53.2598,T   2    N R   3 S 28,LEON,q5333se,ST MARKS RIVER,,614
-84.77718758,30.46946506,NW1-SS-2115,NWFWMD-1,STREAM,,N/A,30,28,10.0537,84,46,37.8603,T   1    N R   5 S 19,GADSDEN,q5239ne,OCHLOCKONEE RIVER,,615
-84.68793801,30.16345316,NW1-SS-2116,NWFWMD-1,STREAM,,N/A,30,9,48.4111,84,41,16.562,T   4    S R   5 S 1,LIBERTY,q5038sw,OCHLOCKONEE RIVER,,616
-84.313529,30.49925544,NW1-SS-2117,NWFWMD-1,STREAM,,N/A,30,29,57.299,84,18,48.6899,T   1    N R   1 S 10,LEON,q5235nw,OCHLOCKONEE RIVER,,617
-84.54305652,30.15203166,NW1-SS-2118,NWFWMD-1,STREAM,,N/A,30,9,7.2937,84,32,34.9888,T   4    S R   3 S 9,WAKULLA,q5037se,OCHLOCKONEE RIVER,,618
-84.49376177,30.33054306,NW1-SS-2119,NWFWMD-1,STREAM,,N/A,30,19,49.9346,84,29,37.5277,T   2    S R   3 S 12,LEON,q5136nw,ST MARKS RIVER,,619
-84.70419825,30.4594007,NW1-SS-2120,NWFWMD-1,STREAM,,N/A,30,27,33.822,84,42,15.0988,T   1    N R   5 S 26,GADSDEN,q5238nw,OCHLOCKONEE RIVER,,620
-83.95184465,30.45393897,NW1-SS-2121,NWFWMD-1,STREAM,,N/A,30,27,14.1597,83,57,6.6266,T   1    N R   4 S 29,JEFFERSON,q5232nw,ST MARKS RIVER,,621
-84.4758513,30.5202168,NW1-SS-2122,NWFWMD-1,STREAM,,N/A,30,31,12.7599,84,28,33.05,T   1    N R   2 S 6,GADSDEN,q5336sw,OCHLOCKONEE RIVER,,622
-84.74795823,30.2950163,NW1-SS-2123,NWFWMD-1,STREAM,,N/A,30,17,42.0383,84,44,52.6347,T   2    S R   5 S 20,LIBERTY,q5138sw,OCHLOCKONEE RIVER,,623
-83.8623746,30.59286612,NW1-SS-2001,NWFWMD-1,STREAM,,No,30,35,34.2973,83,51,44.5345,T   2    N R   5 S 7,JEFFERSON,q5331nw,ST MARKS RIVER,,642
-84.54326296,30.50173543,NW1-SS-2002,NWFWMD-1,STREAM,,Yes,30,30,6.227,84,32,35.7319,,GADSDEN,q5337se,OCHLOCKONEE RIVER,,643
-84.72088297,30.22520331,NW1-SS-2003,NWFWMD-1,STREAM,,No,30,13,30.7116,84,43,15.1638,T   3    S R   5 S 15,LIBERTY,q5038nw,OCHLOCKONEE RIVER,,644
-84.45630952,30.63626416,NW1-SS-2004,NWFWMD-1,STREAM,,Yes,30,38,10.5303,84,27,22.6996,T   3    N R   2 S 29,GADSDEN,q5436sw,OCHLOCKONEE RIVER,UNNAMED TRIBUTARY TO SWAMP CREEK,645
-84.16539001,30.43480338,NW1-SS-2005,NWFWMD-1,STREAM,,No,30,26,5.2716,84,9,55.3897,T   1    N R   2 S 31,LEON,q5234se,ST MARKS RIVER,Lake,646
-84.44156368,30.62684891,NW1-SS-2006,NWFWMD-1,STREAM,,Yes,30,37,36.6354,84,26,29.6146,T   3    N R   2 S 28,GADSDEN,q5436sw,OCHLOCKONEE RIVER,,647
-84.89588267,30.54096099,NW1-SS-2007,NWFWMD-1,STREAM,,Yes,30,32,27.439,84,53,45.1625,T   2    N R   7 S 25,LIBERTY,q5340se,OCHLOCKONEE RIVER,,648
-84.43553863,30.20367448,NW1-SS-2008,NWFWMD-1,STREAM,,No,30,12,13.2078,84,26,7.9245,T   3    S R   2 S 21,WAKULLA,q5036ne,ST MARKS RIVER,,649
-84.75475831,30.20541586,NW1-SS-2009,NWFWMD-1,STREAM,,No,30,12,19.4768,84,45,17.115,T   3    S R   5 S 20,LIBERTY,q5039ne,OCHLOCKONEE RIVER,,650
-84.64419629,30.46624606,NW1-SS-2010,NWFWMD-1,STREAM,,Yes,30,27,58.4653,84,38,39.0918,T   1    N R   4 S 21,GADSDEN,q5238ne,OCHLOCKONEE RIVER,,651
-83.94295231,30.5525781,NW1-SS-2011,NWFWMD-1,STREAM,,No,30,33,9.2605,83,56,34.6142,,JEFFERSON,q5332sw,ST MARKS RIVER,Lake Miccosukkee,652
-84.80939258,30.39571304,NW1-SS-2012,NWFWMD-1,STREAM,,No,30,23,44.5465,84,48,33.7983,T   1    S R   6 S 14,LIBERTY,q5239se,OCHLOCKONEE RIVER,,653
-84.76956363,30.37344298,NW1-SS-2013,NWFWMD-1,STREAM,,Yes,30,22,24.3743,84,46,10.4141,T   1    S R   5 S 19,LIBERTY,q5139ne,OCHLOCKONEE RIVER,,654
-84.53182935,29.96914315,NW1-SS-2014,NWFWMD-1,STREAM,,No,29,58,8.8952,84,31,54.571,T   6    S R   3 S 10,FRANKLIN,q4837ne,OCHLOCKONEE RIVER,,655
-84.72009631,30.56914261,NW1-SS-2015,NWFWMD-1,STREAM,,No,30,34,8.8928,84,43,12.3318,T   2    N R   5 S 15,GADSDEN,q5338nw,OCHLOCKONEE RIVER,Creek dammed up at random sample location,656
-84.23652301,30.48932711,NW1-SS-2016,NWFWMD-1,STREAM,,No,30,29,21.557,84,14,11.4684,T   1    N R   1 S 16,LEON,q5234nw,ST MARKS RIVER,,657
-84.03835306,30.45388394,NW1-SS-2017,NWFWMD-1,STREAM,,No,30,27,13.9616,84,2,18.0568,T   1    N R   3 S 28,JEFFERSON,q5233ne,ST MARKS RIVER,,658
-84.63811658,30.28284485,NW1-SS-2018,NWFWMD-1,STREAM,,No,30,16,58.2211,84,38,17.2049,T   2    S R   4 S 28,WAKULLA,q5138se,OCHLOCKONEE RIVER,,659
-84.57704341,30.59945262,NW1-SS-2019,NWFWMD-1,STREAM,,Yes,30,35,58.0088,84,34,37.3415,T   2    N R   3 S 6,GADSDEN,q5337nw,OCHLOCKONEE RIVER,,660
-84.02801607,30.22520086,NW1-SS-2020,NWFWMD-1,STREAM,,No,30,13,30.7027,84,1,40.8437,T   3    S R   3 S 16,JEFFERSON,q5033ne,ST MARKS RIVER,,661
-84.01220583,30.51398976,NW1-SS-2021,NWFWMD-1,STREAM,,Yes,30,30,50.3425,84,0,43.9268,T   1    N R   3 S 3,JEFFERSON,q5333se,ST MARKS RIVER,,662
-84.78971583,30.38850107,NW1-SS-2022,NWFWMD-1,STREAM,,Yes,30,23,18.5834,84,47,22.962,T   1    S R   6 S 13,LIBERTY,q5239se,OCHLOCKONEE RIVER,,663
-84.69581368,30.21336261,NW1-SS-2023,NWFWMD-1,STREAM,,No,30,12,48.0851,84,41,44.9144,T   3    S R   5 S 13,LIBERTY,q5038nw,OCHLOCKONEE RIVER,,664
-84.83296861,30.3214193,NW1-SS-2024,NWFWMD-1,STREAM,,No,30,19,17.0891,84,49,58.672,T   2    S R   6 S 9,LIBERTY,q5139nw,OCHLOCKONEE RIVER,,665
-84.48218541,30.61950963,NW1-SS-2025,NWFWMD-1,STREAM,,No,30,37,10.214,84,28,55.8528,T   3    N R   3 S 36,GADSDEN,q5336nw,OCHLOCKONEE RIVER,,666
-84.40818372,30.53208206,NW1-SS-2026,NWFWMD-1,STREAM,,No,30,31,55.4748,84,24,29.4468,T   2    N R   2 S 35,GADSDEN,q5336se,OCHLOCKONEE RIVER,,667
-84.15895679,30.51175595,NW1-SS-2027,NWFWMD-1,STREAM,,No,30,30,42.3008,84,9,32.2301,T   1    N R   2 S 5,LEON,q5334se,ST MARKS RIVER,,668
-80.89924001,28.07789294,Z3-SS-12131,ZONE 3,STREAM,,N/A,28,4,40.39570999,80,53,57.25339127,,OSCEOLA,,UPPER ST. JOHNS, ,669
-84.38836049,30.30908503,NW1-SS-2028,NWFWMD-1,STREAM,,Yes,30,18,32.6857,84,23,18.0832,T   2    S R   2 S 13,LEON,q5136se,ST MARKS RIVER,,670
-84.57712586,30.58301406,NW1-SS-2029,NWFWMD-1,STREAM,,Yes,30,34,58.83,84,34,37.6383,T   2    N R   3 S 7,GADSDEN,q5337nw,OCHLOCKONEE RIVER,,671
-84.37249474,30.45778371,NW1-SS-2172,NWFWMD-1,STREAM,,N/A,30,27,28.0008,84,22,20.9665,T   1    N R   1 S 30,LEON,q5235nw,ST MARKS RIVER,,672
-84.574274,30.67142536,NW1-SS-2173,NWFWMD-1,STREAM,,N/A,30,40,17.1106,84,34,27.3716,T   3    N R   3 S 7,GADSDEN,q5437sw,OCHLOCKONEE RIVER,,673
-84.0415843,30.15539887,NW1-SS-2174,NWFWMD-1,STREAM,,N/A,30,9,19.4156,84,2,29.6893,T   4    S R   3 S 9,JEFFERSON,q5033se,ST MARKS RIVER,,674
-84.64040182,30.62164449,NW1-SS-2175,NWFWMD-1,STREAM,,N/A,30,37,17.8995,84,38,25.4317,T   3    N R   4 S 28,GADSDEN,q5338ne,OCHLOCKONEE RIVER,,675
-84.67637501,30.32577914,NW1-SS-2176,NWFWMD-1,STREAM,,N/A,30,19,32.7845,84,40,34.9352,T   2    S R   4 S 7,LEON,q5138ne,OCHLOCKONEE RIVER,,676
-84.34527962,30.59958932,NW1-SS-2177,NWFWMD-1,STREAM,,N/A,30,35,58.5009,84,20,42.9921,T   2    N R   1 S 4,GADSDEN,q5335nw,OCHLOCKONEE RIVER,,677
-84.47496861,30.63958911,NW1-SS-2124,NWFWMD-1,STREAM,,N/A,30,38,22.5001,84,28,29.8723,T   3    N R   2 S 19,GADSDEN,q5436sw,OCHLOCKONEE RIVER,,761
-84.14567961,30.25904492,NW1-SS-2125,NWFWMD-1,STREAM,,N/A,30,15,32.5413,84,8,44.4323,T   3    S R   2 S 5,WAKULLA,q5134se,ST MARKS RIVER,,762
